timestamp,consumption_kwh,solar_generation_kwh
2026-05-28 00:00:00,1.53,0.0
2026-05-28 01:00:00,1.78,0.0
2026-05-28 02:00:00,1.72,0.0
2026-05-28 03:00:00,2.24,0.0
2026-05-28 04:00:00,2.18,0.0
2026-05-28 05:00:00,2.39,0.0
2026-05-28 06:00:00,5.34,0
2026-05-28 07:00:00,4.94,2.56
2026-05-28 08:00:00,4.55,5.89
2026-05-28 09:00:00,5.8,8.1
2026-05-28 10:00:00,5.44,10.47
2026-05-28 11:00:00,6.62,11.94
2026-05-28 12:00:00,6.61,12.08
2026-05-28 13:00:00,5.68,12.78
2026-05-28 14:00:00,6.91,11.5
2026-05-28 15:00:00,5.19,10.26
2026-05-28 16:00:00,6.69,8.0
2026-05-28 17:00:00,8.11,5.99
2026-05-28 18:00:00,7.57,3.26
2026-05-28 19:00:00,7.26,0.47
2026-05-28 20:00:00,7.6,0.0
2026-05-28 21:00:00,8.16,0.0
2026-05-28 22:00:00,3.93,0.0
2026-05-28 23:00:00,4.29,0.0
2026-05-29 00:00:00,2.2,0.0
2026-05-29 01:00:00,1.55,0.0
2026-05-29 02:00:00,1.73,0.0
2026-05-29 03:00:00,1.79,0.0
2026-05-29 04:00:00,1.58,0.0
2026-05-29 05:00:00,1.73,0.0
2026-05-29 06:00:00,5.06,0
2026-05-29 07:00:00,5.23,3.09
2026-05-29 08:00:00,4.92,5.61
2026-05-29 09:00:00,6.37,7.96
2026-05-29 10:00:00,6.22,10.32
2026-05-29 11:00:00,6.46,11.22
2026-05-29 12:00:00,5.76,11.93
2026-05-29 13:00:00,6.28,12.75
2026-05-29 14:00:00,6.37,11.61
2026-05-29 15:00:00,6.55,10.51
2026-05-29 16:00:00,5.06,7.92
2026-05-29 17:00:00,7.04,5.56
2026-05-29 18:00:00,8.39,2.67
2026-05-29 19:00:00,7.13,0.38
2026-05-29 20:00:00,7.81,0.0
2026-05-29 21:00:00,7.29,0.0
2026-05-29 22:00:00,4.37,0.0
2026-05-29 23:00:00,3.69,0.0
2026-05-30 00:00:00,1.75,0.0
2026-05-30 01:00:00,2.06,0.0
2026-05-30 02:00:00,1.76,0.0
2026-05-30 03:00:00,2.08,0.0
2026-05-30 04:00:00,2.4,0.0
2026-05-30 05:00:00,1.9,0.0
2026-05-30 06:00:00,6.5,0
2026-05-30 07:00:00,4.68,2.59
2026-05-30 08:00:00,4.72,4.55
2026-05-30 09:00:00,6.08,7.27
2026-05-30 10:00:00,5.13,8.79
2026-05-30 11:00:00,6.99,9.95
