timestamp,consumption_kwh,solar_generation_kwh
2026-06-20 00:00:00,1.53,0.0
2026-06-20 01:00:00,1.78,0.0
2026-06-20 02:00:00,1.72,0.0
2026-06-20 03:00:00,2.24,0.0
2026-06-20 04:00:00,2.18,0.0
2026-06-20 05:00:00,2.39,0.0
2026-06-20 06:00:00,5.34,0
2026-06-20 07:00:00,4.94,2.62
2026-06-20 08:00:00,4.55,6.01
2026-06-20 09:00:00,5.8,8.27
2026-06-20 10:00:00,5.44,10.69
2026-06-20 11:00:00,6.62,12.18
2026-06-20 12:00:00,6.61,12.34
2026-06-20 13:00:00,5.68,13.04
2026-06-20 14:00:00,6.91,11.75
2026-06-20 15:00:00,5.19,10.48
2026-06-20 16:00:00,6.69,8.17
2026-06-20 17:00:00,8.11,6.11
2026-06-20 18:00:00,7.57,3.32
2026-06-20 19:00:00,7.26,0.47
2026-06-20 20:00:00,7.6,0.0
2026-06-20 21:00:00,8.16,0.0
2026-06-20 22:00:00,3.93,0.0
2026-06-20 23:00:00,4.29,0.0
2026-06-21 00:00:00,2.2,0.0
2026-06-21 01:00:00,1.55,0.0
2026-06-21 02:00:00,1.73,0.0
2026-06-21 03:00:00,1.79,0.0
2026-06-21 04:00:00,1.58,0.0
2026-06-21 05:00:00,1.73,0.0
2026-06-21 06:00:00,5.06,0
2026-06-21 07:00:00,5.23,3.17
2026-06-21 08:00:00,4.92,5.75
2026-06-21 09:00:00,6.37,8.16
2026-06-21 10:00:00,6.22,10.57
2026-06-21 11:00:00,6.46,11.51
2026-06-21 12:00:00,5.76,12.23
2026-06-21 13:00:00,6.28,13.06
2026-06-21 14:00:00,6.37,11.9
2026-06-21 15:00:00,6.55,10.76
2026-06-21 16:00:00,5.06,8.13
2026-06-21 17:00:00,7.04,5.7
2026-06-21 18:00:00,8.39,2.74
2026-06-21 19:00:00,7.13,0.38
2026-06-21 20:00:00,7.81,0.0
2026-06-21 21:00:00,7.29,0.0
2026-06-21 22:00:00,4.37,0.0
2026-06-21 23:00:00,3.69,0.0
2026-06-22 00:00:00,1.75,0.0
2026-06-22 01:00:00,2.06,0.0
2026-06-22 02:00:00,1.76,0.0
2026-06-22 03:00:00,2.08,0.0
2026-06-22 04:00:00,2.4,0.0
2026-06-22 05:00:00,1.9,0.0
2026-06-22 06:00:00,6.5,0
2026-06-22 07:00:00,4.68,2.71
2026-06-22 08:00:00,4.72,4.8
2026-06-22 09:00:00,6.08,7.62
2026-06-22 10:00:00,5.13,9.22
